_r,id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual
0.013521,8000323786000061,154.699171590427,-1.372269530442,8000,323786,61,PSF,0.999,P4,1.556,2.343,1,0
0.013458,8000323786000019,154.686737509207,-1.369088462395,8000,323786,19,REX,0.001,R4,0.434,0.079,1,1
0.011119,8000323786000108,154.699003215599,-1.369824578868,8000,323786,108,PSF,0.928,P2,0.77,0.196,1,0
0.011145,8000323786000109,154.700152502033,-1.369441536857,8000,323786,109,PSF,0.002,P6,0.455,0.206,1,1
0.00983,8000323786000110,154.697427677745,-1.368866091924,8000,323786,110,PSF,0.013,P6,0.338,0.188,1,1
0.008676,8000323786000111,154.698386725149,-1.367459134243,8000,323786,111,PSF,0.003,P6,0.611,0.163,1,1
0.010217,8000323786000112,154.698806573587,-1.368941666813,8000,323786,112,REX,0.011,R5,1.312,0.587,0,0
0.012534,8000323786000162,154.685416730462,-1.366142672235,8000,323786,162,REX,0.008,R4,0.436,0.05,1,1
0.01362,8000323786000163,154.68392621752,-1.365786124377,8000,323786,163,REX,0.003,R7,0.516,0.241,1,1
0.002221,8000323786000169,154.697302703445,-1.357501493813,8000,323786,169,DEV,0.184,D8,0.494,0.12,1,1
0.001362,8000323786000170,154.697190298371,-1.359044933774,8000,323786,170,DEV,0.001,D1,0.4,0.029,1,1
0.005325,8000323786000171,154.700826931114,-1.36102023797,8000,323786,171,DEV,0.001,D2,0.401,0.027,1,1
0.004215,8000323786000172,154.699196997898,-1.356625544292,8000,323786,172,REX,0.003,R4,0.414,0.111,1,1
0.004484,8000323786000173,154.700260311932,-1.359887022992,8000,323786,173,REX,0.003,R4,0.402,0.098,1,1
0.002406,8000323786000174,154.693495529009,-1.358594045411,8000,323786,174,REX,0.01,R4,0.37,0.07,1,1
0.008601,8000323786000175,154.702574107883,-1.364510700588,8000,323786,175,REX,0.003,R4,0.396,0.068,1,1
0.005143,8000323786000176,154.691266823939,-1.356799381557,8000,323786,176,REX,0.759,R4,0.382,0.072,1,1
0.006842,8000323786000177,154.700224521402,-1.364414334741,8000,323786,177,REX,0.003,R4,0.417,0.069,1,1
0.006035,8000323786000178,154.699747492148,-1.354572783608,8000,323786,178,EXP,0.155,E8,0.439,0.091,1,1
0.005138,8000323786000179,154.700972817265,-1.359234532325,8000,323786,179,REX,0.012,R7,0.356,0.2,0,0
0.00773,8000323786000180,154.703362567709,-1.360926882569,8000,323786,180,PSF,0.002,P6,0.803,0.191,1,1
0.009045,8000323786000181,154.703928882176,-1.363205478664,8000,323786,181,REX,0.002,R1,0.683,0.257,1,1
0.00753,8000323786000182,154.702531105032,-1.362611733216,8000,323786,182,REX,0.017,R0,0.707,0.288,1,1
0.009222,8000323786000183,154.702022597861,-1.366004202239,8000,323786,183,PSF,0.001,P0,1.127,0.736,0,0
6.16E-4,8000323786000184,154.696308789406,-1.358775296317,8000,323786,184,DEV,0.006,D6,0.85,0.109,0,0
0.009553,8000323786000185,154.705194267604,-1.361084840776,8000,323786,185,REX,0.001,R2,0.985,0.472,1,0
0.003513,8000323786000186,154.69319188711,-1.356849418487,8000,323786,186,REX,0.029,R2,0.767,0.284,1,1
