_r,id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual
0.005107,8000323786000187,154.698395883662,-1.363584585816,8000,323786,187,REX,0.006,R0,0.716,0.252,1,1
0.009494,8000323786000188,154.704856335663,-1.362128852797,8000,323786,188,REX,0.003,R5,0.916,0.227,1,1
0.010341,8000323786000193,154.687858200056,-1.365752690079,8000,323786,193,PSF,0.006,P9,0.968,0.31,1,1
0.006964,8000323786000211,154.6919144214,-1.364923505564,8000,323786,211,REX,0.041,R5,1.233,0.4,1,1
0.006345,8000323786000212,154.691591721647,-1.363887068806,8000,323786,212,PSF,0.002,P9,0.921,0.395,1,0
0.009014,8000323786000215,154.68845557101,-1.364349112761,8000,323786,215,REX,0.0,R2,1.228,0.419,1,1
0.009814,8000323786000232,154.686534150114,-1.362309766436,8000,323786,232,DEV,0.004,D9,0.453,0.042,1,1
0.013471,8000323786000237,154.682468578538,-1.360886649326,8000,323786,237,REX,0.353,R3,0.168,0.147,1,1
0.012594,8000323786000293,154.683247540886,-1.358632182568,8000,323786,293,REX,0.003,R4,0.398,0.062,1,1
0.012262,8000323786000294,154.683700084632,-1.357368976829,8000,323786,294,PSF,0.096,P5,1.557,0.533,1,0
0.006477,8000323786000299,154.689389003368,-1.358498673843,8000,323786,299,REX,0.015,R7,0.53,0.234,1,1
0.011662,8000323786000343,154.684756173703,-1.355511333118,8000,323786,343,PSF,0.129,P7,0.594,0.201,1,1
0.011249,8000323786000344,154.685432351082,-1.354874456868,8000,323786,344,PSF,0.02,P8,1.79,0.739,1,0
0.006247,8000323786000369,154.692198442913,-1.354084903131,8000,323786,369,EXP,0.02,E8,0.524,0.08,1,1
0.007401,8000323786000370,154.692813728267,-1.352408821011,8000,323786,370,REX,0.001,R7,0.998,0.173,1,1
0.009215,8000323786000371,154.69246308299,-1.350589533944,8000,323786,371,PSF,0.002,P7,1.924,0.572,1,1
0.008404,8000323786000372,154.692846454408,-1.351310622861,8000,323786,372,REX,0.007,R2,0.793,0.314,0,0
0.007171,8000323786000373,154.695107026767,-1.352032426041,8000,323786,373,PSF,1.0,P2,0.979,1.321,1,0
0.008968,8000323786000400,154.689306365276,-1.353015321818,8000,323786,400,REX,0.007,R5,1.102,0.236,1,1
0.012733,8000323786000446,154.686222039195,-1.350812102006,8000,323786,446,REX,0.09,R5,0.932,0.157,1,1
0.01004,8000323786000468,154.693638113176,-1.349369109046,8000,323786,468,REX,0.001,R6,0.922,0.077,1,1
0.012753,8000323786000138,154.708588921711,-1.359006337898,8000,323786,138,PSF,0.905,P2,1.332,1.386,0,0
0.01028,8000323786000308,154.706066892788,-1.358161122254,8000,323786,308,PSF,0.008,P8,1.755,0.731,1,0
0.008683,8000323786000337,154.70409051108,-1.3564742055,8000,323786,337,REX,0.001,R2,1.103,0.318,1,1
0.008852,8000323786000338,154.703806675707,-1.355317745195,8000,323786,338,PSF,0.001,P7,1.2,0.386,1,1
0.011067,8000323786000360,154.706013183973,-1.354817724649,8000,323786,360,PSF,0.996,P4,2.267,0.651,1,0
0.011819,8000323786000361,154.705727671875,-1.352697592216,8000,323786,361,PSF,0.001,P0,0.899,0.689,1,0
0.01167,8000323786000425,154.700119972161,-1.348312071792,8000,323786,425,DEV,0.001,D2,0.435,0.035,1,1
0.011986,8000323786000426,154.697971137072,-1.34737294003,8000,323786,426,PSF,0.991,P2,0.892,0.62,1,0
0.01038,8000323786000427,154.699164731461,-1.349335266555,8000,323786,427,REX,0.001,R4,0.416,0.051,1,1
0.013214,8000323786000428,154.698362716448,-1.346196993057,8000,323786,428,REX,0.001,R4,0.803,0.092,1,1
0.008581,8000323786000429,154.699223497618,-1.351283779284,8000,323786,429,DEV,0.83,D6,0.497,0.098,1,1
0.013517,8000323786000431,154.701297040479,-1.346802666598,8000,323786,431,REX,0.002,R7,1.179,0.257,0,0
0.012606,8000323786000470,154.703891263762,-1.349469974909,8000,323786,470,PSF,0.001,P9,1.002,0.311,1,1
0.013127,8000323786000495,154.693543300302,-1.346241153435,8000,323786,495,REX,0.124,R4,0.402,0.069,1,1
0.012282,8000323786000496,154.694744441947,-1.34693257029,8000,323786,496,PSF,0.117,P6,0.532,0.2,1,1
