_r,id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual
0.004175,8000348966001811,329.680356732774,2.955402119368,8000,348966,1811,PSF,0.091,P3,1.258,0.309,0,0
0.002431,8000348966001812,329.68473787206,2.956347707341,8000,348966,1812,EXP,0.053,E8,0.366,0.121,1,1
0.004625,8000348966001813,329.687951237544,2.957985518121,8000,348966,1813,REX,0.01,R3,0.574,0.054,1,1
0.005635,8000348966001816,329.679236493836,2.954458193442,8000,348966,1816,REX,0.243,R4,0.294,0.111,1,1
0.001512,8000348966001817,329.68422872183,2.959552076826,8000,348966,1817,EXP,0.006,E0,0.823,0.164,0,0
0.008193,8000348966001819,329.691113768381,2.960931717738,8000,348966,1819,REX,0.001,R7,0.525,0.13,1,1
0.006952,8000348966001823,329.687942242572,2.963543215882,8000,348966,1823,REX,0.004,R0,0.895,0.164,1,1
0.006067,8000348966001824,329.688317991319,2.961800751735,8000,348966,1824,REX,0.006,R1,0.704,0.287,1,1
0.007591,8000348966001825,329.678038730906,2.952886218425,8000,348966,1825,PSF,0.098,P6,1.139,0.191,1,1
0.004728,8000348966001827,329.678702962957,2.95931848528,8000,348966,1827,REX,0.014,R9,0.287,0.178,0,0
0.003644,8000348966001828,329.684617030352,2.954922342151,8000,348966,1828,REX,0.012,R0,0.62,0.433,0,0
0.001381,8000348966001830,329.682441329213,2.959388364601,8000,348966,1830,REX,0.115,R3,0.317,0.251,0,0
0.003867,8000348966001831,329.680756510192,2.955446891848,8000,348966,1831,REX,0.982,R7,0.565,0.349,0,0
0.002067,8000348966001832,329.684426090635,2.960088236392,8000,348966,1832,REX,0.126,R1,0.734,0.283,0,0
0.005186,8000348966001833,329.678431909994,2.956618929671,8000,348966,1833,REX,0.035,R9,0.257,0.19,0,0
0.008838,8000348966001835,329.676670424551,2.95251600132,8000,348966,1835,PSF,0.054,P9,0.476,0.327,1,0
0.012261,8000348966001880,329.671408307145,2.955418239727,8000,348966,1880,DEV,0.016,D2,0.299,0.017,1,1
0.006894,8000348966001938,329.676430199658,2.958317145504,8000,348966,1938,PSF,0.002,P6,0.577,0.161,1,1
0.011254,8000348966001959,329.672085422539,2.95901445857,8000,348966,1959,PSF,0.014,P1,0.145,0.235,1,0
0.008102,8000348966001964,329.675484278547,2.960384131499,8000,348966,1964,DEV,0.048,D2,0.307,0.02,1,1
0.008544,8000348966001965,329.674848468505,2.959428995061,8000,348966,1965,REX,0.09,R4,0.348,0.07,1,1
0.008673,8000348966001966,329.675552258571,2.962185729059,8000,348966,1966,PSF,0.019,P6,0.669,0.146,0,0
0.013665,8000348966001997,329.669902601686,2.960946761592,8000,348966,1997,REX,0.001,R2,1.016,0.312,1,1
0.016531,8000348966002010,329.667076019507,2.961441887814,8000,348966,2010,PSF,0.006,P3,1.254,0.414,1,1
0.006894,8000348966002021,329.678071143981,2.962795762968,8000,348966,2021,COMP,1.0,C4,1.6,1.182,1,0
0.007561,8000348966002022,329.678308381767,2.963988577838,8000,348966,2022,PSF,0.284,P7,1.294,0.365,0,0
0.010523,8000348966002053,329.673930950031,2.963084200372,8000,348966,2053,REX,0.183,R7,0.466,0.14,1,1
0.006584,8000348966002064,329.68374570468,2.964904010032,8000,348966,2064,REX,0.032,R4,0.484,0.096,1,1
0.005544,8000348966002065,329.683799376911,2.963857337787,8000,348966,2065,REX,0.089,R0,0.573,0.233,1,1
0.007614,8000348966002066,329.683958321414,2.965921455159,8000,348966,2066,PSF,0.005,P0,0.702,0.72,1,0
0.005996,8000348966002067,329.681151020274,2.963919457706,8000,348966,2067,REX,0.001,R8,0.759,0.178,1,1
0.01044,8000348966002085,329.69136807262,2.965012744372,8000,348966,2085,REX,0.025,R7,0.553,0.078,1,1
0.015462,8000348966002103,329.669714916156,2.965689104846,8000,348966,2103,PSF,0.001,P3,0.985,0.212,1,1
0.009051,8000348966002108,329.687346936232,2.966447959566,8000,348966,2108,PSF,0.001,P9,0.877,0.25,1,1
0.010717,8000348966002114,329.67659200468,2.966672025331,8000,348966,2114,PSF,0.999,P4,1.856,1.0,1,0
0.012665,8000348966002115,329.675976329133,2.968649687805,8000,348966,2115,REX,0.002,R3,0.377,0.064,1,1
0.013038,8000348966002116,329.676491200554,2.969437657093,8000,348966,2116,PSF,0.002,P6,1.486,0.362,1,1
0.013938,8000348966002117,329.67788958954,2.971167435464,8000,348966,2117,REX,0.032,R0,0.393,0.123,1,1
0.012777,8000348966002118,329.677395238422,2.969650560817,8000,348966,2118,PSF,0.001,P7,1.111,0.235,1,1
0.013121,8000348966002124,329.67358108516,2.967125811211,8000,348966,2124,REX,0.002,R4,0.909,0.216,1,1
0.010709,8000348966002125,329.689365872157,2.967187037212,8000,348966,2125,PSF,0.009,P2,0.684,0.365,1,0
0.011477,8000348966002126,329.69016851328,2.967559238084,8000,348966,2126,PSF,0.005,P9,0.8,0.351,0,0
0.01103,8000348966002149,329.678557686754,2.968279169315,8000,348966,2149,REX,0.208,R0,0.206,0.118,1,1
0.010728,8000348966002153,329.6868006801,2.968487475805,8000,348966,2153,PSF,0.041,P9,0.86,0.485,1,0
0.016167,8000348966002165,329.671320072124,2.969170540917,8000,348966,2165,REX,0.001,R6,0.927,0.08,1,1
0.011147,8000348966002175,329.684422089513,2.969426909554,8000,348966,2175,REX,0.003,R5,1.285,0.355,1,1
0.012375,8000348966002188,329.686197517637,2.970373680825,8000,348966,2188,REX,0.002,R4,0.507,0.087,1,1
0.013524,8000348966002189,329.687011596726,2.97134884072,8000,348966,2189,REX,0.005,R0,0.517,0.12,1,1
0.013042,8000348966002214,329.683593901859,2.971372432914,8000,348966,2214,REX,0.001,R0,0.917,0.28,1,1
0.016188,8000348966002242,329.686883352624,2.974128100035,8000,348966,2242,REX,0.004,R4,0.55,0.059,1,1
0.015854,8000348966002243,329.689565375595,2.972914427524,8000,348966,2243,EXP,0.001,E1,0.596,0.083,1,1
0.01636,8000348966002244,329.688386791766,2.973895408566,8000,348966,2244,EXP,0.001,E5,0.788,0.374,1,0
0.01493,8000348966002253,329.680998293223,2.973080070387,8000,348966,2253,REX,0.004,R0,0.932,0.278,1,1
0.01665,8000348966002270,329.6834058047,2.974983235669,8000,348966,2270,REX,0.078,R7,0.477,0.259,1,1
0.016123,8000348966002271,329.682586588944,2.974439372279,8000,348966,2271,PSF,0.01,P6,0.588,0.144,1,1
